Date,Core,Deep,REM,Awake,InBed,BedTime_Offset,TotalSleep
2024/2/15,223.8333333,72.93333333,37.91666667,0,353.9833333,2.383333333,334.6833333
2024/2/16,263.75,88.93333333,65.83333333,0,499.9833333,0.533333333,418.5166667
2024/2/17,210.8666667,49.96666667,45.91666667,0,346.9833333,2.95,306.75
2024/2/18,247.8,96.95,65.86666667,0,445.9833333,2.483333333,410.6166667
2024/2/19,222.7833333,57.95,61.85,0,350.9833333,2.15,342.5833333
2024/2/20,230.7666667,120.9666667,54.83333333,20.96666667,435.9666667,1.8,406.5666667
2024/2/21,244.8333333,70.96666667,58.88333333,10.98333333,407.9666667,2.566666667,374.6833333
2024/2/22,286.7833333,94.93333333,71.86666667,9.983333333,472.9666667,1.483333333,453.5833333
2024/2/23,240.8833333,89.96666667,30.93333333,0,369.9833333,1.7,361.7833333
2024/2/24,159.7333333,96.93333333,81.85,21.96666667,373.9666667,2.533333333,338.5166667
2024/2/25,318.7666667,91.95,76.85,9.983333333,527.9666667,1.516666667,487.5666667
2024/2/26,204.8333333,79.96666667,88.88333333,14.98333333,398.9666667,2.55,373.6833333
2024/2/27,300.85,54.96666667,48.9,0,415.9833333,1.8,404.7166667
2024/2/28,270.8166667,109.9333333,52.9,0,446.9833333,2.033333333,433.65
2024/2/29,160.8666667,82.96666667,53.91666667,0,323.9833333,2.833333333,297.75
2024/3/1,202.8666667,81.96666667,76.91666667,0,385.9833333,2.016666667,361.75
2024/3/2,217.8333333,92.96666667,76.88333333,0,406.9833333,1.35,387.6833333
2024/3/3,269.7666667,83.91666667,46.88333333,8.983333333,436.9666667,1.383333333,400.5666667
2024/3/4,231.8,75.93333333,49.9,10.98333333,412.9666667,2.483333333,357.6333333
2024/3/5,244.75,94.91666667,58.86666667,11.98333333,417.9666667,1.966666667,398.5333333
2024/3/6,224.8166667,85.95,56.88333333,0,423.9833333,2.116666667,367.65
2024/3/7,256.8,90.96666667,64.86666667,1.983333333,429.9833333,1.716666667,412.6333333
2024/3/8,259.8333333,79.95,43.9,0,402.9833333,2.216666667,383.6833333
2024/3/9,203.8166667,65.98333333,87.85,0,373.9833333,2.633333333,357.65
2024/3/10,251.8666667,90.95,33.93333333,0,406.9833333,2.366666667,376.75
2024/3/11,253.8166667,78.95,40.9,9.983333333,396.9666667,2.05,373.6666667
2024/3/12,234.85,99.96666667,41.9,9.983333333,402.9666667,2.283333333,376.7166667
2024/3/13,241.8333333,98.96666667,58.88333333,0,452.9833333,1.833333333,399.6833333
